Date,Time,COGT,NO2GT,RH
15 Mar 04,3600,2,93,57
15 Mar 04,7200,2,88,61.3
15 Mar 04,10800,1,-200,63.5
15 Mar 04,18000,1,74,67.4
15 Mar 04,21600,1,80,70.5
15 Mar 04,25200,2,89,70.2
15 Mar 04,28800,6,114,63.9
15 Mar 04,32400,8,149,54.3
15 Mar 04,36000,6,157,45.6
15 Mar 04,39600,4,155,38.5
15 Mar 04,43200,3,134,34.1
15 Mar 04,46800,3,119,32.2
15 Mar 04,50400,3,111,30
15 Mar 04,54000,2,104,28.9
15 Mar 04,57600,2,99,29.4
15 Mar 04,61200,3,110,31.3
15 Mar 04,64800,6,162,35.4
15 Mar 04,68400,8,187,42.5
15 Mar 04,72000,6,165,52.6
15 Mar 04,75600,4,145,57.4
15 Mar 04,79200,3,125,60.2
15 Mar 04,82800,1,101,61.4
16 Mar 04,0,2,103,65.7
16 Mar 04,3600,1,88,60.6
16 Mar 04,7200,1,61,59.2
16 Mar 04,10800,1,-200,62.1
16 Mar 04,18000,1,52,63.2
16 Mar 04,21600,1,64,68.5
16 Mar 04,25200,1,70,66.5
16 Mar 04,28800,3,97,63.7
16 Mar 04,32400,4,95,56.3
16 Mar 04,36000,5,150,42.9
16 Mar 04,39600,4,162,33.3
16 Mar 04,43200,3,154,27.4
16 Mar 04,46800,4,161,26.1
16 Mar 04,50400,4,161,23.2
16 Mar 04,54000,3,128,20.2
16 Mar 04,57600,3,129,18.6
16 Mar 04,61200,3,133,19.1
16 Mar 04,64800,3,139,25.7
16 Mar 04,68400,4,137,34.8
16 Mar 04,72000,3,143,36.7
16 Mar 04,75600,5,177,41.3
16 Mar 04,79200,3,138,45.9
16 Mar 04,82800,2,117,48.9
17 Mar 04,0,2,107,52.9
17 Mar 04,3600,1,90,51.9
17 Mar 04,7200,1,79,55.6
17 Mar 04,10800,1,-200,57.9
17 Mar 04,18000,0,40,58
17 Mar 04,21600,0,53,57.4
17 Mar 04,25200,2,84,65.2
17 Mar 04,28800,4,108,60.2
17 Mar 04,32400,7,127,50
17 Mar 04,36000,4,134,40.1
17 Mar 04,39600,3,135,33.4
17 Mar 04,43200,2,142,28.3
17 Mar 04,46800,3,153,25.6
17 Mar 04,50400,3,123,25.9
17 Mar 04,54000,2,104,18.7
17 Mar 04,57600,3,129,15.8
17 Mar 04,61200,2,114,14.9
17 Mar 04,64800,5,158,16
17 Mar 04,68400,8,194,26.5
17 Mar 04,72000,7,182,38.2
17 Mar 04,75600,6,180,42.6
17 Mar 04,79200,3,136,44.1
17 Mar 04,82800,3,127,50.9
18 Mar 04,0,2,116,53.9
18 Mar 04,3600,1,107,55.4
18 Mar 04,7200,1,88,52.1
18 Mar 04,10800,1,-200,53.9
18 Mar 04,18000,1,57,58.9
18 Mar 04,21600,1,71,62.1
18 Mar 04,25200,2,85,63.2
18 Mar 04,28800,5,124,60
18 Mar 04,32400,7,151,50.6
18 Mar 04,36000,4,150,40.5
18 Mar 04,39600,3,152,34.4
18 Mar 04,43200,2,139,28.2
18 Mar 04,46800,2,133,28.7
18 Mar 04,50400,2,126,24.9
18 Mar 04,54000,2,128,17.8
18 Mar 04,57600,3,169,23.1
18 Mar 04,61200,3,149,23.9
18 Mar 04,64800,4,156,26.8
18 Mar 04,68400,5,168,31.1
18 Mar 04,72000,5,176,36.2
18 Mar 04,75600,3,135,48.4
18 Mar 04,79200,2,121,57.8
18 Mar 04,82800,2,99,64.2
19 Mar 04,0,2,106,69.7
19 Mar 04,3600,2,96,71.1
19 Mar 04,7200,1,63,69.3
19 Mar 04,10800,1,-200,67.5
19 Mar 04,18000,0,28,66.8
19 Mar 04,21600,1,61,66.3
19 Mar 04,25200,2,99,64.9
19 Mar 04,28800,5,157,61.6
19 Mar 04,32400,6,166,58.8
19 Mar 04,36000,4,149,57.1
19 Mar 04,39600,3,135,54.4
19 Mar 04,43200,3,127,50.1
19 Mar 04,46800,3,122,47.6
19 Mar 04,50400,3,135,47.1
19 Mar 04,54000,4,139,47.5
19 Mar 04,57600,4,147,50.2
19 Mar 04,61200,5,158,50.7
19 Mar 04,64800,4,146,50.3
19 Mar 04,68400,4,144,50.6
19 Mar 04,72000,4,138,51.4
19 Mar 04,75600,4,143,53.1
19 Mar 04,79200,2,116,57.6
19 Mar 04,82800,2,109,58.3
20 Mar 04,0,2,92,57.9
20 Mar 04,3600,2,83,55.9
20 Mar 04,7200,1,81,55.6
20 Mar 04,10800,1,-200,55.1
20 Mar 04,18000,1,53,55.1
20 Mar 04,21600,1,67,59
20 Mar 04,25200,1,91,58.4
20 Mar 04,28800,2,113,58
20 Mar 04,32400,2,102,53.1
20 Mar 04,36000,3,107,52.3
20 Mar 04,39600,3,113,52.1
20 Mar 04,43200,3,108,50
20 Mar 04,46800,3,105,47.9
20 Mar 04,50400,2,93,42.9
20 Mar 04,54000,2,87,42.2
20 Mar 04,57600,2,76,42.3
20 Mar 04,61200,2,94,43.8
20 Mar 04,64800,2,110,46.3
20 Mar 04,68400,4,136,51.6
20 Mar 04,72000,4,139,51.3
20 Mar 04,75600,3,125,53.8
20 Mar 04,79200,2,111,55.4
20 Mar 04,82800,2,97,57.7
21 Mar 04,0,3,107,58.6
21 Mar 04,3600,2,90,60.9
21 Mar 04,7200,2,84,56.6
21 Mar 04,10800,2,-200,57.9
21 Mar 04,18000,1,66,60.6
21 Mar 04,21600,1,36,63
21 Mar 04,25200,1,62,66.2
21 Mar 04,28800,1,91,65.3
21 Mar 04,32400,1,89,62.1
21 Mar 04,36000,2,93,59
21 Mar 04,39600,2,81,49.6
21 Mar 04,43200,2,82,46.1
21 Mar 04,46800,2,80,41.6
21 Mar 04,50400,1,48,40.3
21 Mar 04,54000,2,61,39.3
21 Mar 04,57600,2,89,38
21 Mar 04,61200,2,105,41.3
21 Mar 04,64800,4,116,43.8
21 Mar 04,68400,4,119,48.1
21 Mar 04,72000,4,144,46.9
21 Mar 04,75600,3,123,49.1
21 Mar 04,79200,2,105,51.7
21 Mar 04,82800,2,93,55.1
22 Mar 04,0,2,86,60
22 Mar 04,3600,2,76,60.5
22 Mar 04,7200,1,33,57
22 Mar 04,10800,0,-200,53.9
22 Mar 04,18000,0,23,53.9
22 Mar 04,21600,1,46,54
22 Mar 04,25200,1,76,57.6
22 Mar 04,28800,4,116,53.7
22 Mar 04,32400,4,115,42.1
22 Mar 04,36000,2,83,38.4
22 Mar 04,39600,2,87,36.7
22 Mar 04,43200,2,90,29.6
22 Mar 04,46800,2,87,28.1
22 Mar 04,50400,2,99,26.1
22 Mar 04,54000,2,99,26.8
22 Mar 04,57600,2,101,24.2
22 Mar 04,61200,3,103,28.5
22 Mar 04,64800,4,129,43.1
22 Mar 04,68400,4,143,47.4
22 Mar 04,72000,4,146,47.4
22 Mar 04,75600,3,124,49.7
22 Mar 04,79200,2,113,52
22 Mar 04,82800,1,80,49.4
23 Mar 04,0,1,72,51.4
23 Mar 04,3600,1,64,51.3
23 Mar 04,7200,1,70,56.8
23 Mar 04,10800,0,-200,70
23 Mar 04,18000,0,22,80.5
23 Mar 04,21600,0,47,75.4
23 Mar 04,25200,1,88,75
23 Mar 04,28800,3,130,74.2
23 Mar 04,32400,4,132,69.7
23 Mar 04,36000,3,132,62.9
23 Mar 04,39600,3,131,55.8
23 Mar 04,43200,3,129,54.8
23 Mar 04,46800,4,132,53.4
23 Mar 04,50400,3,110,42.4
23 Mar 04,54000,2,99,49.8
23 Mar 04,57600,2,100,61.1
23 Mar 04,61200,3,122,54.6
23 Mar 04,64800,2,97,49.5
23 Mar 04,68400,3,112,57.1
23 Mar 04,72000,3,128,58.2
23 Mar 04,75600,2,101,54.2
23 Mar 04,79200,1,96,54.9
23 Mar 04,82800,1,86,61.4
24 Mar 04,0,1,85,62.2
24 Mar 04,3600,1,79,62.5
24 Mar 04,7200,1,61,60
24 Mar 04,10800,1,-200,61.6
24 Mar 04,18000,1,54,58.6
24 Mar 04,21600,1,57,57.2
24 Mar 04,25200,1,75,59.2
24 Mar 04,28800,3,97,57.3
24 Mar 04,32400,4,110,56.9
24 Mar 04,36000,3,113,54.9
24 Mar 04,39600,2,88,44.2
24 Mar 04,43200,2,85,40.6
24 Mar 04,46800,2,96,34.6
24 Mar 04,50400,2,106,35.6
24 Mar 04,57600,3,126,81.1
24 Mar 04,61200,3,130,69.1
24 Mar 04,64800,3,111,68.5
24 Mar 04,68400,4,134,67.3
24 Mar 04,72000,4,136,65.7
24 Mar 04,75600,3,125,66.3
24 Mar 04,79200,2,108,66.9
24 Mar 04,82800,1,87,61.1
25 Mar 04,0,1,89,59.9
25 Mar 04,3600,1,58,58.4
25 Mar 04,7200,1,54,68.1
25 Mar 04,10800,1,-200,68.2
25 Mar 04,14400,0,28,72.3
25 Mar 04,18000,0,20,66.8
25 Mar 04,21600,1,51,83.2
25 Mar 04,25200,1,82,79
25 Mar 04,28800,3,112,74.6
25 Mar 04,32400,4,119,75.1
25 Mar 04,36000,2,99,69.7
25 Mar 04,39600,2,98,64.4
25 Mar 04,43200,1,88,53
25 Mar 04,46800,2,96,48.4
25 Mar 04,50400,2,81,46.2
25 Mar 04,54000,2,92,41.3
25 Mar 04,57600,2,105,35.4
25 Mar 04,61200,2,88,37.4
25 Mar 04,64800,3,103,40.5
25 Mar 04,68400,5,141,47.8
25 Mar 04,72000,5,133,52.5
25 Mar 04,75600,2,119,53.2
25 Mar 04,79200,2,106,56.1
25 Mar 04,82800,1,92,59.5
26 Mar 04,0,2,97,61.1
26 Mar 04,3600,1,91,61.6
26 Mar 04,7200,1,83,62.6
26 Mar 04,10800,1,-200,68.5
26 Mar 04,14400,1,59,69.4
26 Mar 04,18000,1,73,72.4
26 Mar 04,21600,1,78,71.8
26 Mar 04,25200,2,90,66.3
26 Mar 04,28800,3,110,59.6
26 Mar 04,32400,4,114,57
26 Mar 04,36000,3,119,44.1
26 Mar 04,39600,3,121,35.3
26 Mar 04,43200,2,97,27.1
26 Mar 04,46800,2,99,26.2
26 Mar 04,50400,2,85,30.8
26 Mar 04,54000,1,75,36.8
26 Mar 04,57600,2,87,41
26 Mar 04,61200,2,102,43.3
26 Mar 04,64800,2,105,45.6
26 Mar 04,68400,3,98,48
26 Mar 04,72000,3,93,51.1
26 Mar 04,75600,2,91,50.8
26 Mar 04,79200,1,85,50.4
26 Mar 04,82800,1,74,50.2
27 Mar 04,0,2,87,53.4
27 Mar 04,3600,1,79,57.8
27 Mar 04,7200,1,78,62.1
27 Mar 04,10800,1,-200,63.5
27 Mar 04,18000,1,48,58.9
27 Mar 04,21600,1,59,66.6
27 Mar 04,25200,1,65,62.9
27 Mar 04,28800,2,71,63.9
27 Mar 04,32400,2,84,50.5
27 Mar 04,36000,2,93,36.1
27 Mar 04,39600,2,99,29.2
27 Mar 04,43200,2,93,30.1
27 Mar 04,46800,2,96,26.8
27 Mar 04,50400,2,114,28.6
27 Mar 04,54000,2,101,28.4
27 Mar 04,57600,2,108,26
27 Mar 04,61200,2,117,31.3
27 Mar 04,64800,3,125,36.1
27 Mar 04,68400,3,133,40.1
27 Mar 04,72000,3,119,44.9
27 Mar 04,75600,2,107,48.1
27 Mar 04,79200,2,96,50.8
27 Mar 04,82800,2,105,56.1
28 Mar 04,0,2,102,55.9
28 Mar 04,3600,2,97,58.1
28 Mar 04,7200,2,79,62.2
28 Mar 04,10800,2,-200,66.7
28 Mar 04,14400,1,69,64.9
28 Mar 04,18000,1,52,58.5
28 Mar 04,21600,1,62,66.4
28 Mar 04,25200,1,69,68
28 Mar 04,28800,1,75,58.6
28 Mar 04,32400,2,83,50.1
28 Mar 04,36000,2,94,36.9
28 Mar 04,39600,2,96,31.3
28 Mar 04,43200,2,86,26.4
28 Mar 04,46800,1,72,23.1
28 Mar 04,50400,1,53,25
28 Mar 04,54000,1,65,27.3
28 Mar 04,57600,1,70,28.2
28 Mar 04,61200,1,75,31.4
28 Mar 04,64800,1,86,35
28 Mar 04,68400,2,94,40.2
28 Mar 04,72000,2,103,43.2
28 Mar 04,75600,1,81,46.8
28 Mar 04,79200,1,80,46.5
28 Mar 04,82800,1,77,46.6
29 Mar 04,0,1,58,48
29 Mar 04,3600,1,31,45.8
29 Mar 04,7200,0,38,46.6
29 Mar 04,10800,1,-200,47.8
29 Mar 04,14400,1,59,46.9
29 Mar 04,18000,1,70,51.2
29 Mar 04,21600,1,75,50.7
29 Mar 04,25200,3,103,56.8
29 Mar 04,28800,4,134,44.1
29 Mar 04,32400,2,98,37.6
29 Mar 04,36000,2,97,33.2
29 Mar 04,39600,2,98,30.1
29 Mar 04,43200,1,78,29
29 Mar 04,46800,2,83,27.9
29 Mar 04,50400,2,92,26.8
29 Mar 04,54000,1,81,26.1
29 Mar 04,57600,2,90,27.1
29 Mar 04,61200,2,95,28.9
29 Mar 04,64800,2,114,31.3
29 Mar 04,68400,2,106,35.4
29 Mar 04,72000,2,99,37.9
29 Mar 04,75600,1,90,34.4
29 Mar 04,79200,1,82,28.5
29 Mar 04,82800,1,74,31.9
30 Mar 04,0,1,76,26.8
30 Mar 04,3600,1,66,33.6
30 Mar 04,7200,1,73,42.9
30 Mar 04,10800,1,-200,38.7
30 Mar 04,18000,1,71,33.9
30 Mar 04,21600,1,98,40.3
30 Mar 04,25200,3,115,38.4
30 Mar 04,28800,4,130,35.6
30 Mar 04,32400,4,150,28.8
30 Mar 04,36000,5,159,28.2
30 Mar 04,39600,4,146,26.6
30 Mar 04,43200,4,138,22.5
30 Mar 04,46800,3,128,20
30 Mar 04,50400,2,97,21.7
30 Mar 04,54000,2,91,26.5
30 Mar 04,57600,2,81,30.6
30 Mar 04,61200,2,99,34.7
30 Mar 04,64800,2,101,40.4
30 Mar 04,68400,3,106,42
30 Mar 04,72000,2,102,43.5
30 Mar 04,75600,1,84,46.1
30 Mar 04,79200,1,81,44.6
30 Mar 04,82800,2,91,43.5
31 Mar 04,0,1,82,41
31 Mar 04,3600,1,64,40.8
31 Mar 04,7200,1,70,40.8
31 Mar 04,10800,0,-200,36.1
31 Mar 04,14400,0,26,36.1
31 Mar 04,18000,1,58,36
31 Mar 04,21600,1,93,38.5
31 Mar 04,25200,3,110,58.2
31 Mar 04,28800,4,115,61.1
31 Mar 04,32400,2,125,74.4
31 Mar 04,36000,2,118,71
31 Mar 04,39600,2,109,70
31 Mar 04,43200,3,123,73.3
31 Mar 04,46800,2,114,78.1
31 Mar 04,50400,3,114,69.2
31 Mar 04,54000,3,119,59.3
31 Mar 04,57600,2,111,50.9
31 Mar 04,61200,2,103,52.9
31 Mar 04,64800,3,103,50.8
31 Mar 04,68400,3,107,52.9
31 Mar 04,72000,2,105,56
31 Mar 04,75600,2,91,57
31 Mar 04,79200,1,79,57.8
31 Mar 04,82800,1,79,58.4
01 Apr 04,0,2,86,61.6
01 Apr 04,3600,1,70,63.9
01 Apr 04,7200,1,55,67.2
01 Apr 04,10800,1,-200,73.1
01 Apr 04,14400,1,49,66.6
01 Apr 04,18000,1,50,63.7
01 Apr 04,21600,2,67,68.8
01 Apr 04,25200,4,94,69.6
01 Apr 04,28800,6,119,60.9
01 Apr 04,32400,5,139,48.6
01 Apr 04,36000,3,113,39.6
01 Apr 04,39600,2,88,38.4
01 Apr 04,43200,2,73,36.7
01 Apr 04,46800,2,73,33.9
01 Apr 04,50400,2,72,-200
01 Apr 04,54000,2,81,-200
01 Apr 04,57600,2,93,-200
01 Apr 04,61200,3,106,27.5
01 Apr 04,64800,4,132,32.1
01 Apr 04,68400,6,164,36.7
01 Apr 04,72000,5,161,40.9
01 Apr 04,75600,2,124,44
01 Apr 04,79200,2,113,48
01 Apr 04,82800,2,103,52
02 Apr 04,0,2,104,54.4
02 Apr 04,3600,1,93,58.8
02 Apr 04,7200,1,60,60.9
02 Apr 04,10800,1,-200,64.3
02 Apr 04,18000,1,66,72.9
02 Apr 04,21600,1,82,71.8
02 Apr 04,25200,3,109,73.7
02 Apr 04,28800,4,114,70.2
02 Apr 04,32400,5,139,65.3
02 Apr 04,36000,3,127,52.3
02 Apr 04,39600,3,127,44.1
02 Apr 04,43200,3,135,33.8
02 Apr 04,46800,3,130,31.3
02 Apr 04,50400,3,126,30.5
02 Apr 04,54000,3,121,27.3
02 Apr 04,57600,3,122,22.8
02 Apr 04,61200,4,138,22.3
02 Apr 04,64800,4,165,30.1
02 Apr 04,68400,5,154,40.1
02 Apr 04,72000,6,168,42.5
02 Apr 04,75600,3,146,43
02 Apr 04,79200,2,124,47
02 Apr 04,82800,2,124,53.2
03 Apr 04,0,2,106,51.8
03 Apr 04,3600,1,88,54.2
03 Apr 04,7200,1,83,58.2
03 Apr 04,10800,1,-200,57.6
03 Apr 04,14400,1,74,58
03 Apr 04,18000,1,64,61.6
03 Apr 04,21600,1,69,59.6
03 Apr 04,25200,2,91,61.7
03 Apr 04,28800,3,96,55.8
03 Apr 04,32400,3,106,50.5
05 Apr 04,36000,3,124,57.4
05 Apr 04,39600,3,121,55.2
05 Apr 04,43200,3,114,54.3
05 Apr 04,46800,3,114,51.5
05 Apr 04,50400,2,106,47.5
05 Apr 04,54000,2,89,41.7
05 Apr 04,57600,2,82,38.3
05 Apr 04,61200,3,111,42.8
05 Apr 04,64800,4,132,45.4
05 Apr 04,68400,4,121,47.5
05 Apr 04,72000,3,116,49.4
05 Apr 04,75600,2,100,50.9
05 Apr 04,79200,2,89,51.8
05 Apr 04,82800,2,92,53.9
06 Apr 04,0,1,71,55.4
06 Apr 04,3600,1,51,57
06 Apr 04,7200,0,39,59.2
06 Apr 04,10800,0,-200,61.4
06 Apr 04,14400,0,35,61.6
06 Apr 04,18000,1,64,58.8
06 Apr 04,21600,2,94,58.9
06 Apr 04,25200,4,134,55.2
06 Apr 04,28800,6,129,52.5
06 Apr 04,32400,4,125,46.3
06 Apr 04,36000,3,107,41.8
06 Apr 04,39600,2,78,40.1
06 Apr 04,43200,3,91,36.6
06 Apr 04,46800,3,116,34.7
06 Apr 04,50400,2,131,35.4
06 Apr 04,54000,2,113,36.9
06 Apr 04,57600,2,98,36.8
06 Apr 04,61200,3,116,40.6
06 Apr 04,64800,3,120,44.3
06 Apr 04,68400,3,126,47.7
06 Apr 04,72000,3,126,50.7
06 Apr 04,75600,2,90,49.4
06 Apr 04,79200,1,81,48.6
06 Apr 04,82800,1,74,47
07 Apr 04,0,1,67,45.9
07 Apr 04,3600,1,46,44.9
07 Apr 04,7200,0,30,44.4
07 Apr 04,10800,0,-200,42.4
07 Apr 04,14400,0,19,45.4
07 Apr 04,18000,0,32,50.1
07 Apr 04,21600,1,61,58.6
07 Apr 04,25200,3,111,58.2
07 Apr 04,28800,3,102,52
07 Apr 04,32400,2,116,61.4
07 Apr 04,36000,2,96,53.1
07 Apr 04,39600,2,97,44.3
07 Apr 04,43200,2,110,40.3
07 Apr 04,46800,2,103,42.2
07 Apr 04,50400,1,79,51.8
07 Apr 04,54000,2,104,76.4
07 Apr 04,57600,1,69,47.7
07 Apr 04,61200,2,96,37.1
07 Apr 04,64800,3,121,48.7
07 Apr 04,68400,3,129,71.3
07 Apr 04,72000,3,116,74
07 Apr 04,75600,1,71,71.8
07 Apr 04,79200,1,85,75.2
07 Apr 04,82800,2,101,76
08 Apr 04,0,1,97,75
08 Apr 04,3600,2,89,76.7
08 Apr 04,7200,1,72,79.6
08 Apr 04,10800,1,-200,80.6
08 Apr 04,18000,1,62,72.1
08 Apr 04,21600,1,64,70.4
08 Apr 04,25200,3,80,70.5
08 Apr 04,28800,5,118,64.3
08 Apr 04,32400,4,130,54.2
08 Apr 04,36000,3,113,42.6
08 Apr 04,39600,2,112,34.2
08 Apr 04,43200,2,96,27.4
08 Apr 04,46800,3,125,26.7
08 Apr 04,50400,3,128,22.6
08 Apr 04,54000,2,101,24.8
08 Apr 04,57600,2,95,25.4
08 Apr 04,61200,4,138,24.5
08 Apr 04,64800,5,154,28.6
08 Apr 04,68400,6,171,32.9
08 Apr 04,72000,4,136,39.8
08 Apr 04,75600,2,93,41.5
08 Apr 04,79200,1,99,46
08 Apr 04,82800,2,106,-200
09 Apr 04,0,2,109,-200
09 Apr 04,3600,2,97,-200
09 Apr 04,7200,1,83,-200
09 Apr 04,10800,1,-200,-200
09 Apr 04,14400,1,79,-200
09 Apr 04,18000,1,84,-200
09 Apr 04,21600,2,86,-200
09 Apr 04,25200,3,111,-200
09 Apr 04,28800,3,117,-200
09 Apr 04,32400,3,122,-200
09 Apr 04,36000,2,119,-200
09 Apr 04,39600,3,121,-200
09 Apr 04,43200,4,127,-200
09 Apr 04,46800,4,135,-200
09 Apr 04,50400,2,119,-200
09 Apr 04,54000,3,137,-200
09 Apr 04,57600,4,139,-200
09 Apr 04,61200,2,117,-200
09 Apr 04,64800,3,127,-200
09 Apr 04,68400,3,137,-200
09 Apr 04,72000,3,127,-200
09 Apr 04,75600,2,107,-200
09 Apr 04,79200,2,102,-200
09 Apr 04,82800,2,95,67.9
10 Apr 04,0,1,79,66.9
10 Apr 04,3600,2,78,70.1
10 Apr 04,7200,2,75,69.8
10 Apr 04,10800,1,-200,69.3
10 Apr 04,14400,1,52,70.2
10 Apr 04,18000,1,55,73.4
10 Apr 04,21600,1,65,70.5
10 Apr 04,25200,2,72,71
10 Apr 04,28800,2,76,64
10 Apr 04,32400,2,84,53.1
10 Apr 04,36000,2,90,44.4
10 Apr 04,39600,2,89,38.4
10 Apr 04,43200,2,87,30
10 Apr 04,46800,2,88,26.7
10 Apr 04,50400,1,81,23.1
10 Apr 04,54000,1,89,22.7
10 Apr 04,57600,2,91,21.3
10 Apr 04,61200,2,104,24.5
10 Apr 04,64800,2,111,31.6
10 Apr 04,68400,2,129,35
10 Apr 04,72000,2,133,41.5
10 Apr 04,75600,2,115,50.3
10 Apr 04,79200,3,125,55.5
10 Apr 04,82800,2,117,56.6
11 Apr 04,0,1,84,56.2
11 Apr 04,3600,1,63,56.6
11 Apr 04,7200,1,68,64.3
11 Apr 04,10800,1,-200,66
11 Apr 04,18000,1,49,70.7
11 Apr 04,21600,1,49,71
11 Apr 04,25200,1,52,66.6
11 Apr 04,28800,1,58,64.3
11 Apr 04,32400,1,51,47.9
11 Apr 04,36000,2,77,35.4
11 Apr 04,39600,2,90,29.2
11 Apr 04,43200,3,118,22.9
11 Apr 04,46800,1,70,22.4
11 Apr 04,50400,1,35,18.9
11 Apr 04,54000,1,46,19
11 Apr 04,57600,1,58,23.6
11 Apr 04,61200,1,61,27.4
11 Apr 04,64800,1,80,30.8
11 Apr 04,68400,2,93,35.3
11 Apr 04,72000,1,78,37.5
11 Apr 04,75600,1,76,36.7
11 Apr 04,79200,1,74,39
11 Apr 04,82800,1,81,38.2
12 Apr 04,0,1,58,38.3
12 Apr 04,3600,1,59,34
12 Apr 04,7200,1,54,34
12 Apr 04,10800,1,-200,32.8
12 Apr 04,14400,0,25,30.9
12 Apr 04,18000,0,26,37.9
12 Apr 04,21600,0,49,43.6
12 Apr 04,25200,0,53,50.1
12 Apr 04,28800,1,57,53.6
12 Apr 04,32400,1,73,56
12 Apr 04,36000,1,78,59.6
12 Apr 04,39600,1,93,62.7
12 Apr 04,43200,1,71,60.5
12 Apr 04,46800,1,56,64.4
12 Apr 04,50400,1,60,67.6
12 Apr 04,54000,1,77,61.2
12 Apr 04,57600,1,82,70.5
12 Apr 04,61200,1,77,65.2
12 Apr 04,64800,1,91,58.9
12 Apr 04,68400,2,93,59.5
12 Apr 04,72000,1,82,57.7
12 Apr 04,75600,1,74,56.1
12 Apr 04,79200,1,68,58
12 Apr 04,82800,1,65,58.4
13 Apr 04,0,1,58,58.2
13 Apr 04,3600,0,36,59.9
13 Apr 04,7200,0,29,60.8
13 Apr 04,10800,0,-200,63.1
13 Apr 04,14400,0,28,60.1
13 Apr 04,18000,1,68,68.4
13 Apr 04,21600,2,99,68.7
13 Apr 04,25200,4,130,64.2
13 Apr 04,28800,4,128,58.1
13 Apr 04,32400,3,120,52
13 Apr 04,36000,2,93,50.8
13 Apr 04,39600,2,96,47.4
13 Apr 04,43200,2,84,42.7
13 Apr 04,46800,2,87,38.1
13 Apr 04,50400,2,87,36.7
